ID,"Snabba vändningar fot, Utrustning","Snabba vändningar fot, #1","Snabba vändningar fot, #2","Snabba vändningar fot, #3","Snabba vändningar fot, #4","Snabba vändningar fot, #5","Snabba vändningar fot, #6","Snabba vändningar fot, #7","Snabba vändningar fot, #8","Snabba vändningar fot, #9","Snabba vändningar fot, #10","Tennisboll över bom, Utrustning","Tennisboll över bom, #1","Droppboll, Utrustning","Droppboll, #1","Droppboll, #2","Droppboll, #3","Droppboll, #4","Droppboll, #5","Droppboll, #6","Droppboll, #7","Jonglera med armbåge, Utrustning","Jonglera med armbåge, #1","Jonglera med armbåge, #2","Jonglera med armbåge, #3","Kasta och fånga, Utrustning","Kasta och fånga, #1","Kasta och fånga, #2","Jonglera mot vägg, Utrustning","Jonglera mot vägg, #1","Jonglera mot vägg, #2","Jonglera mot vägg, #3","Kanonen, Utrustning","Kanonen, #1","Jonglera med knä, Utrustning","Jonglera med knä, #1","Jonglera med knä, #2","Jonglera med knä, #3","Studsa basket, Utrustning","Studsa basket, #1","Studsa basket, #2","Balansera bollen, Utrustning","Balansera bollen, #1","Balansera bollen, #2","Balansera bollen, #3","Minigolf, Utrustning","Minigolf, Höger/Vänster","Minigolf, #1","Minigolf, #2","Minigolf, #3","Minigolf, #4","Minigolf, #5","Minigolf, #6","Snabba vändningar klubba, Utrustning","Snabba vändningar klubba, #1","Snabba vändningar klubba, #2","Snabba vändningar klubba, #3","Snabba vändningar klubba, #4","Snabba vändningar klubba, #5","Snabba vändningar klubba, #6","Snabba vändningar klubba, #7","Snabba vändningar klubba, #8","Snabba vändningar klubba, #9","Snabba vändningar klubba, #10"
57, fot,0.9359999999999999,0.833,2.094,1.324,1.3769999999999998,1.39,1.2770000000000001,3.7030000000000003,1.166,1.735,,, rack,15.0, 12.628999710083, 12.6120004653931, 8.87199974060059, 5.92600011825562, 4.8769998550415, 7.0, armbåge,3.0, 3.0, 6.0, hand,5.0, 2.0, fot,0.0,0.0, 1.0, klubba,8.0, lår,3.0,4.0, 5.0, hand,6.0,11.0, slagträ,1.2120000123977699,0.8330000042915341, 0.732999980449677, klubba, vänster,0.0,1.0, 1.0, 1.0, 0.0, 3.0, klubba,1.068,1.003,0.9590000000000001,1.136,1.016,1.054,0.925,0.8370000000000001,1.04,2.596
58, fot,1.163,0.93,1.37,1.065,1.068,0.833,1.597,1.065,0.8340000000000001,1.10277777777778, rack,7.0, rack,10.6359996795654, 6.11600017547607, 4.2350001335144, 5.42500019073486, 4.90399980545044, 3.91300010681152, 4.84899997711182, armbåge,3.0, 7.0, 5.0, hand,17.0, 10.0, fot,4.0, 2.0, 3.0, klubba,9.0, lår,8.0,7.0, 9.0, hand,14.0,17.0, slagträ,1.48699998855591,1.18599998950958, 3.24699997901917, klubba, vänster,0.0,0.0, 0.0, 0.0, 3.0, 2.0, klubba,0.499,0.6709999999999999,0.9640000000000001,0.57,0.73,0.665,0.8,0.639,0.797,0.63
59, fot,2.068,1.6,0.9,2.161,1.972,1.028,2.134,1.466,2.376,2.124, rack,2.0, rack,5.46799993515015, 4.16800022125244, 4.03800010681152, 8.35599994659424, 3.63599991798401, 4.07200002670288, 8.92599964141846, armbåge,2.0,4.0, 3.0, hand,12.0, 17.0, fot,6.0, 1.0, 1.0, klubba,9.0, lår,5.0,3.0, 2.0, hand,20.0,7.0, slagträ,4.26200008392334,0.870000004768372, 0.794000029563904, klubba, höger,1.0,3.0, 2.0, 0.0, 0.0, 1.0, klubba,0.7020000000000001,1.416,1.262,1.805,1.2670000000000001,1.433,0.897,1.169,0.898,1.301
60,,,,,,,,,,,, rack,2.0, rack,3.89800000190735, 3.58299994468689, 3.71700000762939, 4.50799989700317, 4.07200002670288, 4.03000020980835, 3.82999992370605, armbåge,7.0, 4.0, 3.0, hand,15.0, 2.0, fot,2.0, 2.0, 1.0, klubba,8.0, lår,3.0,2.0, 2.0, hand,22.0,22.0, slagträ,3.2809998989105202,2.3289999961852996, 2.94899988174438, klubba, höger,0.0,2.0, 0.0, 3.0, 0.0, 2.0,,,,,,,,,,,
61, fot,1.197,1.102,1.663,1.6019999999999999,1.2329999999999999,2.399,1.537,2.131,1.736,1.3619999999999999, rack,5.0, rack,12.7629995346069, 6.59800004959106, 7.05900001525879, 7.24900007247925, 6.12900018692017, 6.83500003814697, 7.56500005722046, armbåge,2.0, 3.0, 2.0, hand,1.0, 14.0, fot,1.0, 1.0, 1.0, klubba,8.0, lår,4.0,4.0, 4.0, hand,4.0,14.0, slagträ,1.2960000038147,2.95799994468689, 1.43700003623962, klubba, höger,0.0,1.0, 0.0, 0.0, 0.0, 0.0, klubba,1.097,1.4369999999999998,1.531,1.6,1.3319999999999999,1.472,1.396,1.6340000000000001,1.197,1.3719999999999999
62, fot,1.2670000000000001,1.163,2.504,0.8290000000000001,2.4330000000000003,1.234,1.936,2.2640000000000002,1.3330000000000002,6.324, rack,2.0, rack,15.0, 4.3730001449585, 10.0059995651245, 6.23999977111816, 9.69499969482422, 6.91900014877319, 5.10799980163574, armbåge,2.0,1.0, 5.0, hand,4.0, 6.0, fot,0.0,0.0, 0.0, klubba,8.0, lår,4.0,2.0, 3.0, hand,3.0,14.0, slagträ,1.94599997997284,1.60899996757507, 0.570999979972839, klubba, vänster,0.0,2.0, 0.0, 0.0, 2.0, 0.0, klubba,0.872,2.099,1.2309999999999999,0.934,1.168,0.934,2.201,1.065,2.033,0.8640000000000001
63, fot,0.32299999999999995,0.9690000000000001,1.431,0.97,1.063,2.109,0.96,1.4,1.101,1.24, rack,8.0, rack,15.0, 4.01200008392334, 3.87700009346008, 3.10800004005432, 4.13199996948242, 3.51099991798401, 2.99300003051758, armbåge,4.0, 7.0, 2.0, hand,9.0, 10.0, fot,1.0, 10.0, 5.0, klubba,10.0, lår,9.0,3.0, 30.0, hand,16.0,23.0, slagträ,7.0479998588562,3.76200008392334, 3.28699994087219, klubba, höger,2.0,1.0, 0.0, 3.0, 3.0, 2.0, klubba,0.47100000000000003,0.601,2.061,0.633,0.9,0.606,1.199,0.799,1.4869999999999999,0.629
66, fot,0.733,1.639,0.9620000000000001,1.466,1.2329999999999999,3.267,1.466,1.3030000000000002,1.032,1.133, rack,6.0, rack,3.86899995803833, 3.21799993515015, 2.94600009918213, 7.08799982070923, 3.31500005722046, 10.3730001449585, 3.38000011444092, armbåge,3.0, 5.0, 2.0, hand,17.0,9.0, fot,5.0, 1.0, 4.0, klubba,9.0, lår,6.0,16.0, 40.0, hand,21.0,15.0, slagträ,6.70800018310547,6.7930002212524405, 5.6729998588562, klubba, höger,0.0,1.0, 0.0, 0.0, 0.0, 2.0, klubba,0.8290000000000001,1.3459999999999999,0.831,0.897,0.8,0.773,1.3659999999999999,0.863,0.736,0.73
67, fot,0.767,1.463,1.704,1.594,0.9059999999999999,0.97,1.996,1.764,1.764,1.401, rack,1.0, rack,3.80800008773804, 6.47900009155273, 3.66599988937378, 3.43099999427795, 4.43300008773804, 3.62400007247925, 3.1470000743866, armbåge,1.0, 3.0, 5.0, hand,3.0, 13.0, fot,1.0, 6.0, 5.0, klubba,6.0, lår,2.0,2.0, 3.0, hand,4.0,4.0, slagträ,0.28999999165535,1.1440000534057602, 2.76900005340576, klubba, höger,0.0,3.0, 0.0, 2.0, 1.0, 0.0, klubba,0.805,0.7340000000000001,1.37,0.7929999999999999,1.003,0.863,1.0,0.87,0.8320000000000001,0.797
68, fot,0.868,5.7,2.897, 3.002, 3.636, 3.066, 1.765, 0.932, 3.168, 2.216, rack,1.0, rack,7.40899991989136,15.0,15.0,6.30700016021729,4.42700004577637,5.0229997634887695,4.87799978256226, armbåge,6.0, 3.0, 2.0, hand,0.0, 6.0, fot,1.0,0.0, 2.0, klubba,3.0, lår,2.0,3.0, 2.0, hand,2.0,4.0,,,,, klubba, vänster,0.0,0.0,3.0, 2, 0, 0, klubba,1.198,1.068,1.135, 0.966, 1.431, 1.068, 1.099, 1.302, 1.401, 1.135
