ID, Övning, Utrustning, Höger/Vänster, Försök_1, Försök_2, Försök_3, Försök_4, Försök_5, Försök_6, Försök_7, Försök_8, Försök_9, Försök_10
9, Kasta och fånga, hand, , 2.0, 0.0, , , , , , , , 
10, Kasta och fånga, hand, , 14.0, 4.0, , , , , , , , 
3, Kasta och fånga, hand, , 2.0, 2.0, , , , , , , , 
5, Kasta och fånga, hand, , 9.0, 2.0, , , , , , , , 
5, Jonglera mot vägg, fot, , 1.0, 1.0, 0.0, , , , , , , 
3, Jonglera mot vägg, fot, , 2.0, 0.0, 0.0, , , , , , , 
3, Jonglera med armbåge, armbåge, , 2.0, 3.0, 2.0, , , , , , , 
5, Jonglera med armbåge, armbåge, , 2.0, 3.0, 2.0, , , , , , , 
1, Kasta och fånga, hand, , 4.0, 12.0, , , , , , , , 
2, Kasta och fånga, hand, , 2.0, 11.0, , , , , , , , 
11, Kasta och fånga, hand, , 4.0, 3.0, , , , , , , , 
8, Kasta och fånga, hand, , 0.0, 1.0, , , , , , , , 
7, Kasta och fånga, hand, , 1.0, 4.0, , , , , , , , 
4, Kasta och fånga, hand, , 0.0, 0.0, , , , , , , , 
6, Kasta och fånga, hand, , 3.0, 0.0, , , , , , , , 
4, Jonglera mot vägg, fot, , 1.0, 0.0, 0.0, , , , , , , 
6, Jonglera mot vägg, fot, , 0.0, 0.0, 1.0, , , , , , , 
10, Jonglera mot vägg, fot, , 4.0, 2.0, 1.0, , , , , , , 
9, Jonglera mot vägg, fot, , 3.0, 0.0, 2.0, , , , , , , 
5, Tennisboll över bom, rack, , 3.0, , , , , , , , , 
3, Tennisboll över bom, rack, , 1.0, , , , , , , , , 
4, Jonglera med knä, lår, , 1.0, 1.0, 2.0, , , , , , , 
6, Jonglera med knä, lår, , 1.0, 3.0, 5.0, , , , , , , 
38, Jonglera med armbåge, armbåge, , 4.0, 5.0, 2.0, , , , , , , 
25, Jonglera med armbåge, armbåge, , 3.0, 4.0, 5.0, , , , , , , 
27, Jonglera med armbåge, armbåge, , 4.0, 4.0, 2.0, , , , , , , 
27, Kasta och fånga, hand, , 21.0, 21.0, , , , , , , , 
25, Kasta och fånga, hand, , 1.0, 1.0, , , , , , , , 
38, Kasta och fånga, hand, , 7.0, 13.0, , , , , , , , 
37, Kasta och fånga, hand, , 12.0, 9.0, , , , , , , , 
22, Kasta och fånga, hand, , 7.0, 2.0, , , , , , , , 
38, Jonglera mot vägg, fot, , 2.0, 1.0, 0.0, , , , , , , 
25, Jonglera mot vägg, fot, , 0.0, 1.0, 0.0, , , , , , , 
27, Jonglera mot vägg, fot, , 2.0, 2.0, 1.0, , , , , , , 
26, Kasta och fånga, hand, , 22.0, 12.0, , , , , , , , 
21, Kasta och fånga, hand, , 26.0, 25.0, , , , , , , , 
24, Kasta och fånga, hand, , 2.0, 1.0, , , , , , , , 
23, Kasta och fånga, hand, , 4.0, 1.0, , , , , , , , 
40, Kasta och fånga, hand, , 17.0, 10.0, , , , , , , , 
41, Kasta och fånga, hand, , 1.0, 2.0, , , , , , , , 
34, Kasta och fånga, hand, , 1.0, 5.0, , , , , , , , 
33, Kasta och fånga, hand, , 0.0, 1.0, , , , , , , , 
32, Kasta och fånga, hand, , 1.0, 2.0, , , , , , , , 
19, Kasta och fånga, hand, , 7.0, 17.0, , , , , , , , 
18, Kasta och fånga, hand, , 18.0, 18.0, , , , , , , , 
31, Kasta och fånga, hand, , 2.0, 3.0, , , , , , , , 
30, Kasta och fånga, hand, , 2.0, 1.0, , , , , , , , 
17, Kasta och fånga, hand, , 6.0, 1.0, , , , , , , , 
20, Kasta och fånga, hand, , 1.0, 9.0, , , , , , , , 
31, Jonglera med armbåge, armbåge, , 2.0, 2.0, 3.0, , , , , , , 
30, Jonglera med armbåge, armbåge, , 1.0, 2.0, 2.0, , , , , , , 
14, Jonglera med armbåge, armbåge, , 4.0, 3.0, 3.0, , , , , , , 
13, Jonglera med armbåge, armbåge, , 3.0, 4.0, 3.0, , , , , , , 
24, Jonglera med armbåge, armbåge, , 1.0, 2.0, 2.0, , , , , , , 
23, Jonglera med armbåge, armbåge, , 3.0, 3.0, 1.0, , , , , , , 
40, Jonglera med knä, lår, , 1.0, 1.0, 3.0, , , , , , , 
41, Jonglera med knä, lår, , 2.0, 4.0, 5.0, , , , , , , 
14, Jonglera med knä, lår, , 2.0, 3.0, 2.0, , , , , , , 
13, Jonglera med knä, lår, , 1.0, 3.0, 4.0, , , , , , , 
40, Jonglera mot vägg, fot, , 2.0, 0.0, 1.0, , , , , , , 
41, Jonglera mot vägg, fot, , 2.0, 1.0, 2.0, , , , , , , 
28, Jonglera mot vägg, fot, , 0.0, 1.0, 1.0, , , , , , , 
29, Jonglera mot vägg, fot, , 12.0, 2.0, 4.0, , , , , , , 
15, Jonglera mot vägg, fot, , 11.0, 6.0, 3.0, , , , , , , 
16, Jonglera mot vägg, fot, , 2.0, 3.0, 5.0, , , , , , , 
22, Jonglera mot vägg, fot, , 2.0, 3.0, 2.0, , , , , , , 
37, Jonglera mot vägg, fot, , 2.0, 1.0, 2.0, , , , , , , 
29, Kasta och fånga, hand, , 21.0, 6.0, , , , , , , , 
19, Jonglera mot vägg, fot, , 2.0, 6.0, 3.0, , , , , , , 
18, Jonglera mot vägg, fot, , 1.0, 2.0, 3.0, , , , , , , 
34, Jonglera mot vägg, fot, , 1.0, 2.0, 1.0, , , , , , , 
16, Kasta och fånga, hand, , 10.0, 12.0, , , , , , , , 
15, Kasta och fånga, hand, , 8.0, 20.0, , , , , , , , 
13, Kasta och fånga, hand, , 4.0, 8.0, , , , , , , , 
14, Kasta och fånga, hand, , 12.0, 1.0, , , , , , , , 
28, Kasta och fånga, hand, , 10.0, 8.0, , , , , , , , 
52, Kasta och fånga, hand, , 8.0, 14.0, , , , , , , , 
52, Jonglera mot vägg, fot, , 4.0, 10.0, 4.0, , , , , , , 
60, Kasta och fånga, hand, , 15.0, 2.0, , , , , , , , 
63, Kasta och fånga, hand, , 9.0, 10.0, , , , , , , , 
63, Jonglera mot vägg, fot, , 1.0, 10.0, 5.0, , , , , , , 
60, Jonglera mot vägg, fot, , 2.0, 2.0, 1.0, , , , , , , 
48, Jonglera mot vägg, fot, , 1.0, 0.0, 0.0, , , , , , , 
50, Jonglera mot vägg, fot, , 1.0, 1.0, 3.0, , , , , , , 
67, Jonglera mot vägg, fot, , 1.0, 6.0, 5.0, , , , , , , 
46, Jonglera mot vägg, fot, , 2.0, 0.0, 1.0, , , , , , , 
61, Jonglera mot vägg, fot, , 1.0, 1.0, 1.0, , , , , , , 
42, Jonglera mot vägg, fot, , 2.0, 2.0, 1.0, , , , , , , 
55, Jonglera mot vägg, fot, , 2.0, 0.0, 0.0, , , , , , , 
57, Kasta och fånga, hand, , 5.0, 2.0, , , , , , , , 
53, Kasta och fånga, hand, , 11.0, 2.0, , , , , , , , 
51, Kasta och fånga, hand, , 18.0, 19.0, , , , , , , , 
58, Kasta och fånga, hand, , 17.0, 10.0, , , , , , , , 
54, Kasta och fånga, hand, , 4.0, 2.0, , , , , , , , 
49, Kasta och fånga, hand, , 8.0, 2.0, , , , , , , , 
56, Kasta och fånga, hand, , 17.0, 2.0, , , , , , , , 
59, Kasta och fånga, hand, , 12.0, 17.0, , , , , , , , 
46, Kasta och fånga, hand, , 1.0, 0.0, , , , , , , , 
61, Kasta och fånga, hand, , 1.0, 14.0, , , , , , , , 
42, Kasta och fånga, hand, , 13.0, 8.0, , , , , , , , 
55, Kasta och fånga, hand, , 16.0, 1.0, , , , , , , , 
52, Jonglera med armbåge, armbåge, , 2.0, 3.0, 3.0, , , , , , , 
57, Jonglera med armbåge, armbåge, , 3.0, 3.0, 6.0, , , , , , , 
53, Jonglera med armbåge, armbåge, , 5.0, 5.0, 7.0, , , , , , , 
51, Jonglera med armbåge, armbåge, , 3.0, 3.0, 3.0, , , , , , , 
45, Kasta och fånga, hand, , 2.0, 1.0, , , , , , , , 
62, Kasta och fånga, hand, , 4.0, 6.0, , , , , , , , 
44, Kasta och fånga, hand, , 0.0, 1.0, , , , , , , , 
67, Kasta och fånga, hand, , 3.0, 13.0, , , , , , , , 
66, Jonglera mot vägg, fot, , 5.0, 1.0, 4.0, , , , , , , 
47, Jonglera mot vägg, fot, , 0.0, 1.0, 0.0, , , , , , , 
59, Jonglera mot vägg, fot, , 6.0, 1.0, 1.0, , , , , , , 
58, Jonglera mot vägg, fot, , 4.0, 2.0, 3.0, , , , , , , 
54, Jonglera mot vägg, fot, , 1.0, 1.0, 2.0, , , , , , , 
43, Jonglera mot vägg, fot, , 1.0, 2.0, 1.0, , , , , , , 
43, Kasta och fånga, hand, , 4.0, 9.0, , , , , , , , 
76, Kasta och fånga, hand, , 3.0, 5.0, , , , , , , , 
73, Kasta och fånga, hand, , 2.0, 2.0, , , , , , , , 
91, Kasta och fånga, hand, , 6.0, 12.0, , , , , , , , 
89, Kasta och fånga, hand, , 12.0, 18.0, , , , , , , , 
80, Kasta och fånga, hand, , 3.0, 1.0, , , , , , , , 
78, Kasta och fånga, hand, , 3.0, 2.0, , , , , , , , 
83, Kasta och fånga, hand, , 20.0, 21.0, , , , , , , , 
85, Kasta och fånga, hand, , 4.0, 4.0, , , , , , , , 
81, Kasta och fånga, hand, , 2.0, 5.0, , , , , , , , 
77, Kasta och fånga, hand, , 15.0, 5.0, , , , , , , , 
82, Kasta och fånga, hand, , 18.0, 11.0, , , , , , , , 
87, Kasta och fånga, hand, , 5.0, 4.0, , , , , , , , 
84, Kasta och fånga, hand, , 19.0, 21.0, , , , , , , , 
86, Kasta och fånga, hand, , 3.0, 6.0, , , , , , , , 
93, Kasta och fånga, hand, , 17.0, 15.0, , , , , , , , 
71, Kasta och fånga, hand, , 1.0, 2.0, , , , , , , , 
72, Kasta och fånga, hand, , 9.0, 1.0, , , , , , , , 
70, Kasta och fånga, hand, , 3.0, 18.0, , , , , , , , 
70, Jonglera med armbåge, armbåge, , 4.0, 5.0, 5.0, , , , , , , 
72, Jonglera med armbåge, armbåge, , 2.0, 4.0, 4.0, , , , , , , 
71, Jonglera med armbåge, armbåge, , 3.0, 3.0, 6.0, , , , , , , 
70, Jonglera mot vägg, fot, , 1.0, 2.0, 6.0, , , , , , , 
71, Jonglera mot vägg, fot, , 1.0, 1.0, 2.0, , , , , , , 
72, Jonglera mot vägg, fot, , 1.0, 1.0, 0.0, , , , , , , 
90, Jonglera med armbåge, armbåge, , 3.0, 10.0, 8.0, , , , , , , 
92, Jonglera med armbåge, armbåge, , 2.0, 6.0, 5.0, , , , , , , 
69, Kasta och fånga, hand, , 15.0, 18.0, , , , , , , , 
79, Kasta och fånga, hand, , 21.0, 21.0, , , , , , , , 
79, Jonglera mot vägg, fot, , 1.0, 1.0, 1.0, , , , , , , 
69, Jonglera mot vägg, fot, , 1.0, 1.0, 0.0, , , , , , , 
85, Jonglera mot vägg, fot, , 2.0, 2.0, 1.0, , , , , , , 
87, Jonglera mot vägg, fot, , 1.0, 2.0, 1.0, , , , , , , 
84, Jonglera mot vägg, fot, , 5.0, 1.0, 2.0, , , , , , , 
93, Jonglera mot vägg, fot, , 2.0, 3.0, 2.0, , , , , , , 
86, Jonglera mot vägg, fot, , 2.0, 2.0, 1.0, , , , , , , 
81, Jonglera mot vägg, fot, , 2.0, 3.0, 3.0, , , , , , , 
76, Jonglera mot vägg, fot, , 1.0, 1.0, 0.0, , , , , , , 
73, Jonglera mot vägg, fot, , 0.0, 2.0, 1.0, , , , , , , 
82, Jonglera mot vägg, fot, , 2.0, 16.0, 4.0, , , , , , , 
89, Jonglera mot vägg, fot, , 12.0, 1.0, 3.0, , , , , , , 
83, Jonglera mot vägg, fot, , 1.0, 2.0, 1.0, , , , , , , 
76, Minigolf, klubba, vänster, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, , , , 
73, Minigolf, klubba, vänster, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, , , , 
68, Kasta och fånga, hand, , 0.0, 6.0, , , , , , , , 
75, Kasta och fånga, hand, , 2.0, 1.0, , , , , , , , 
88, Kasta och fånga, hand, , 0.0, 1.0, , , , , , , , 
74, Kasta och fånga, hand, , 3.0, 1.0, , , , , , , , 
90, Kasta och fånga, hand, , 20.0, 3.0, , , , , , , , 
92, Kasta och fånga, hand, , 19.0, 16.0, , , , , , , , 
91, Jonglera med armbåge, armbåge, , 3.0, 3.0, 3.0, , , , , , , 
103, Kasta och fånga, hand, , 15.0, 17.0, , , , , , , , 
107, Kasta och fånga, hand, , 19.0, 15.0, , , , , , , , 
102, Kasta och fånga, hand, , 1.0, 1.0, , , , , , , , 
105, Kasta och fånga, hand, , 3.0, 8.0, , , , , , , , 
102, Jonglera mot vägg, fot, , 1.0, 1.0, 1.0, , , , , , , 
105, Jonglera mot vägg, fot, , 0.0, 2.0, 1.0, , , , , , , 
110, Kasta och fånga, hand, , 5.0, 4.0, , , , , , , , 
95, Kasta och fånga, hand, , 4.0, 0.0, , , , , , , , 
96, Jonglera med armbåge, hand, , 2.0, 2.0, 2.0, , , , , , , 
109, Jonglera med armbåge, hand, , 3.0, 1.0, 0.0, , , , , , , 
119, Jonglera med armbåge, hand, , 3.0, 10.0, 7.0, , , , , , , 
118, Jonglera med armbåge, hand, , 10.0, 7.0, 10.0, , , , , , , 
121, Jonglera med armbåge, hand, , 5.0, 3.0, 4.0, , , , , , , 
94, Jonglera med armbåge, hand, , 4.0, 2.0, 4.0, , , , , , , 
119, Kasta och fånga, hand, , 2.0, 18.0, , , , , , , , 
118, Kasta och fånga, hand, , 23.0, 3.0, , , , , , , , 
121, Kasta och fånga, hand, , 2.0, 3.0, , , , , , , , 
94, Kasta och fånga, hand, , 2.0, 6.0, , , , , , , , 
118, Jonglera mot vägg, fot, , 3.0, 6.0, 4.0, , , , , , , 
119, Jonglera mot vägg, fot, , 4.0, 5.0, 2.0, , , , , , , 
121, Jonglera mot vägg, fot, , 1.0, 3.0, 4.0, , , , , , , 
94, Jonglera mot vägg, fot, , 2.0, 3.0, 1.0, , , , , , , 
122, Jonglera mot vägg, fot, , 1.0, 3.0, 3.0, , , , , , , 
97, Jonglera mot vägg, fot, , 0.0, 1.0, 0.0, , , , , , , 
98, Jonglera mot vägg, fot, , 1.0, 1.0, 1.0, , , , , , , 
99, Jonglera mot vägg, fot, , 1.0, 3.0, 1.0, , , , , , , 
111, Jonglera mot vägg, fot, , 3.0, 4.0, 6.0, , , , , , , 
120, Jonglera mot vägg, fot, , 7.0, 2.0, 6.0, , , , , , , 
106, Jonglera mot vägg, fot, , 1.0, 1.0, 0.0, , , , , , , 
117, Jonglera mot vägg, fot, , 6.0, 2.0, 1.0, , , , , , , 
108, Jonglera mot vägg, fot, , 4.0, 1.0, 3.0, , , , , , , 
113, Jonglera mot vägg, fot, , 1.0, 3.0, 0.0, , , , , , , 
101, Jonglera mot vägg, fot, , 5.0, 1.0, 3.0, , , , , , , 
112, Jonglera mot vägg, fot, , 0.0, 0.0, 1.0, , , , , , , 
96, Jonglera mot vägg, fot, , 1.0, 2.0, 0.0, , , , , , , 
109, Jonglera mot vägg, fot, , 1.0, 1.0, 0.0, , , , , , , 
107, Jonglera mot vägg, fot, , 6.0, 2.0, 5.0, , , , , , , 
103, Jonglera mot vägg, fot, , 3.0, 3.0, 2.0, , , , , , , 
110, Jonglera mot vägg, fot, , 1.0, 3.0, 2.0, , , , , , , 
95, Jonglera mot vägg, fot, , 0.0, 0.0, 1.0, , , , , , , 
108, Kasta och fånga, hand, , 11.0, 17.0, , , , , , , , 
113, Kasta och fånga, hand, , 6.0, 5.0, , , , , , , , 
109, Kasta och fånga, hand, , 14.0, 7.0, , , , , , , , 
96, Kasta och fånga, hand, , 1.0, 0.0, , , , , , , , 
120, Kasta och fånga, hand, , 12.0, 15.0, , , , , , , , 
97, Kasta och fånga, hand, , 1.0, 0.0, , , , , , , , 
98, Kasta och fånga, hand, , 2.0, 7.0, , , , , , , , 
99, Kasta och fånga, hand, , 1.0, 0.0, , , , , , , , 
111, Kasta och fånga, hand, , 18.0, 21.0, , , , , , , , 
122, Kasta och fånga, hand, , 20.0, 20.0, , , , , , , , 
116, Kasta och fånga, hand, , 18.0, 2.0, , , , , , , , 
106, Kasta och fånga, hand, , 3.0, 14.0, , , , , , , , 
117, Kasta och fånga, hand, , 11.0, 2.0, , , , , , , , 
101, Kasta och fånga, hand, , 10.0, 14.0, , , , , , , , 
112, Kasta och fånga, hand, , 1.0, 0.0, , , , , , , , 
115, Kasta och fånga, hand, , 2.0, 5.0, , , , , , , , 
116, Jonglera med armbåge, hand, , 1.0, 2.0, 1.0, , , , , , , 
106, Jonglera med armbåge, hand, , 3.0, 2.0, 3.0, , , , , , , 
117, Jonglera med armbåge, hand, , 3.0, 3.0, 3.0, , , , , , , 
140, Jonglera med armbåge, armbåge, , 3.0, 2.0, 3.0, , , , , , , 
131, Jonglera med armbåge, armbåge, , 3.0, 3.0, 2.0, , , , , , , 
136, Jonglera med armbåge, armbåge, , 3.0, 4.0, 6.0, , , , , , , 
145, Jonglera med armbåge, armbåge, , 2.0, 2.0, 2.0, , , , , , , 
133, Jonglera med armbåge, armbåge, , 1.0, 2.0, 1.0, , , , , , , 
126, Kasta och fånga, hand, , 5.0, 9.0, , , , , , , , 
127, Kasta och fånga, hand, , 5.0, 16.0, , , , , , , , 
139, Kasta och fånga, hand, , 6.0, 4.0, , , , , , , , 
141, Kasta och fånga, hand, , 1.0, 1.0, , , , , , , , 
148, Kasta och fånga, hand, , 6.0, 4.0, , , , , , , , 
142, Kasta och fånga, hand, , 7.0, 3.0, , , , , , , , 
144, Kasta och fånga, hand, , 13.0, 1.0, , , , , , , , 
143, Kasta och fånga, hand, , 18.0, 19.0, , , , , , , , 
146, Kasta och fånga, hand, , 17.0, 11.0, , , , , , , , 
147, Kasta och fånga, hand, , 5.0, 16.0, , , , , , , , 
130, Kasta och fånga, hand, , 2.0, 2.0, , , , , , , , 
146, Jonglera med armbåge, armbåge, , 3.0, 3.0, 4.0, , , , , , , 
147, Jonglera med armbåge, armbåge, , 3.0, 4.0, 5.0, , , , , , , 
130, Jonglera med armbåge, armbåge, , 4.0, 3.0, 2.0, , , , , , , 
139, Jonglera med armbåge, armbåge, , 2.0, 2.0, 3.0, , , , , , , 
128, Jonglera med armbåge, armbåge, , 11.0, 5.0, 14.0, , , , , , , 
129, Jonglera med armbåge, armbåge, , 3.0, 3.0, 3.0, , , , , , , 
129, Kasta och fånga, hand, , 3.0, 5.0, , , , , , , , 
128, Kasta och fånga, hand, , 20.0, 23.0, , , , , , , , 
134, Kasta och fånga, hand, , 11.0, 18.0, , , , , , , , 
138, Kasta och fånga, hand, , 4.0, 1.0, , , , , , , , 
136, Kasta och fånga, hand, , 19.0, 19.0, , , , , , , , 
140, Kasta och fånga, hand, , 11.0, 6.0, , , , , , , , 
130, Jonglera mot vägg, fot, , 2.0, 2.0, 1.0, , , , , , , 
146, Jonglera mot vägg, fot, , 1.0, 1.0, 1.0, , , , , , , 
147, Jonglera mot vägg, fot, , 2.0, 3.0, 1.0, , , , , , , 
148, Jonglera mot vägg, fot, , 1.0, 1.0, 1.0, , , , , , , 
143, Jonglera mot vägg, fot, , 0.0, 1.0, 0.0, , , , , , , 
132, Jonglera mot vägg, fot, , 6.0, 2.0, 2.0, , , , , , , 
124, Jonglera mot vägg, fot, , 14.0, 5.0, 4.0, , , , , , , 
129, Jonglera mot vägg, fot, , 2.0, 9.0, 8.0, , , , , , , 
126, Jonglera mot vägg, fot, , 1.0, 2.0, 1.0, , , , , , , 
127, Jonglera mot vägg, fot, , 4.0, 7.0, 2.0, , , , , , , 
128, Jonglera mot vägg, fot, , 2.0, 0.0, 2.0, , , , , , , 
138, Jonglera mot vägg, fot, , 1.0, 1.0, 2.0, , , , , , , 
134, Jonglera mot vägg, fot, , 1.0, 1.0, 2.0, , , , , , , 
136, Jonglera mot vägg, fot, , 5.0, 3.0, 4.0, , , , , , , 
140, Jonglera mot vägg, fot, , 0.0, 0.0, 0.0, , , , , , , 
135, Jonglera mot vägg, fot, , 4.0, 3.0, 0.0, , , , , , , 
137, Jonglera mot vägg, fot, , 2.0, 2.0, 2.0, , , , , , , 
139, Jonglera mot vägg, fot, , 4.0, 4.0, 2.0, , , , , , , 
145, Jonglera mot vägg, fot, , 0.0, 1.0, 0.0, , , , , , , 
133, Jonglera mot vägg, fot, , 1.0, 0.0, 0.0, , , , , , , 
131, Jonglera mot vägg, fot, , 1.0, 2.0, 2.0, , , , , , , 
123, Jonglera mot vägg, fot, , 1.0, 1.0, 3.0, , , , , , , 
125, Jonglera mot vägg, fot, , 9.0, 1.0, 3.0, , , , , , , 
