ID, Övning, Utrustning, Höger.Vänster, Försök_1, Försök_2, Försök_3, Försök_4, Försök_5, Försök_6, Försök_7, Försök_8, Försök_9, Försök_10
123, Snabba vändningar, fot, , 1.196, 1.152, 1.003, 1.094, 1.268, 1.934, 1.201, 1.367, 1.597, 1.07
125, Snabba vändningar, fot, , 1.33333333333333, 1.234, 1.196, 1.471, 1.531, 1.4, 1.136, 1.527, 1.24, 1.265
123, Snabba vändningar, klubba, , 0.631, 0.704, 0.827, 0.635, 0.73, 0.57, 0.866, 0.768, 0.831, 0.57
125, Snabba vändningar, klubba, , 0.493, 0.8, 0.799, 0.905, 0.992, 0.734, 0.9, 0.67, 0.767, 0.697
134, Snabba vändningar, klubba, , 0.931, 0.969, 1.068, 0.932, 1.001, 0.998, 1.001, 1.1, 1.117, 2.247
138, Snabba vändningar, klubba, , 0.969, 1.069, 1.563, 1.634, 0.898, 1.036, 0.901, 1.165, 0.963, 1.04
134, Snabba vändningar, fot, , 0.867, 1.532, 1.302, 1.031, 1.135, 1.101, 1.099, 1.566, 1.801, 1.363
138, Snabba vändningar, fot, , 0.9, 1.433, 1.166, 1.599, 1.633, 1.402, 1.598, 1.434, 1.632, 1.27
129, Snabba vändningar, fot, , 0.701, 1.167, 1.264, 1.731, 1.536, 1.638, 1.662, 1.332, 1.901, 1.233
128, Snabba vändningar, fot, , 0.637, 1.834, 1.245, 1.286, 1.499, 1.367, 1.17, 1.797, 1.367, 1.433
128, Snabba vändningar, klubba, , 0.963, 1.867, 0.869, 0.633, 0.83, 0.602, 0.732, 0.368, 3.335, 0.464
129, Snabba vändningar, klubba, , 0.502, 0.568, 1.364, 0.798, 1.304, 1.431, 0.934, 0.734, 0.863, 0.702
135, Snabba vändningar, klubba, , 0.802, 1.432, 1.333, 1.329, 1.18, 1.254, 1.1, 1.267, 1.133, 1.134
137, Snabba vändningar, klubba, , 1.143, 1.22, 1.7, 1.239, 1.33, 1.3, 1.634, 1.132, 2.101, 1.531
135, Snabba vändningar, fot, , 1.299, 1.066, 3.002, 2.296, 1.603, 1.665, 1.604, 3.497, 1.198, 2.635
137, Snabba vändningar, fot, , 1.426, 2.002, 2.098, 2.033, 1.439, 1.565, 2.268, 4.262, 1.771, 1.732
148, Snabba vändningar, fot, , 1.065, 1.866, 1.531, 1.603, 1.566, 1.265, 1.602, 1.897, 1.138, 3.134
148, Snabba vändningar, klubba, , 1.436, 1.232, 1.337, 1.327, 1.033, 1.035, 1.07, 0.934, 0.794, 0.971
126, Snabba vändningar, fot, , 1.003, 1.499, 1.764, 1.3, 1.601, 3.468, 1.667, 1.034, 2.062, 1.035
127, Snabba vändningar, fot, , 0.898, 1.069, 1.097, 0.801, 1.399, 0.698, 1.436, 0.997, 1.069, 1.03
126, Snabba vändningar, klubba, , 3.996, 1.233, 0.987, 1.95, 1.056, 0.862, 0.9, 0.833, 1.035, 0.896
127, Snabba vändningar, klubba, , 0.698, 0.77, 1.034, 0.599, 0.833, 0.733, 0.936, 0.663, 0.736, 0.961
132, Snabba vändningar, fot, , 0.566, 1.464, 1.237, 1.03, 1.432, 1.202, 1.533, 1.535, 0.969, 1.332
132, Snabba vändningar, klubba, , 0.596, 0.669, 0.635, 0.698, 0.771, 0.696, 0.535, 0.799, 0.568, 1.633
124, Snabba vändningar, fot, , 0.698, 1.269, 0.964, 1.132, 1.037, 1.733, 0.833, 1.013, 0.953, 0.802
124, Snabba vändningar, klubba, , 0.598, 0.536, 0.699, 0.634, 1.698, 0.565, 0.602, 0.733, 0.601, 0.698
145, Snabba vändningar, fot, , 1.032, 1.167, 2.798, 1.498, 3.3922, 3.467, 3.962, 1.105, 4.732, 3.695
145, Snabba vändningar, klubba, , 1, 0.898, 1.202, 0.799, 11.864, 1.138, 4.701, 1.929, 0.867, 1.432
133, Snabba vändningar, fot, , 1.196, 1.334, 2.101, 3.836, 6.202, 4.097, 1.733, 3.033, 4.031, 2.032
133, Snabba vändningar, klubba, , 1.252, 1.2, 1.2, 0.865, 1.802, 3.332, 4.935, 0.995, 1.5, 3.268
140, Snabba vändningar, klubba, , 1.268, 1.699, 1.732, 1.367, 1.701, 1.298, 2.57, 1.263, 6.869, 1.662
136, Snabba vändningar, klubba, , 0.67, 0.895, 0.803, 0.931, 0.866, 1.103, 0.93, 0.933, 0.97, 0.798
140, Snabba vändningar, fot, , 1.193, 2.637, 1.932, 2.166, 1.67, 2.066, 2.266, 2.566, 3.27, 2.231
136, Snabba vändningar, fot, , 0.67, 1.377, 1.355, 1.531, 1.436, 0.629, 2.071, 1.829, 1.268, 1.037
142, Snabba vändningar, klubba, , 0.734, 0.665, 0.8, 0.736, 0.699, 0.966, 0.931, 0.737, 0.797, 0.667
142, Snabba vändningar, fot, , 1.58166666666667, 1.567, 1.034, 1.037, 0.862, 3.768, 1.468, 1.763, 1.433, 1.303
144, Snabba vändningar, klubba, , 0.633, 0.931, 0.838, 0.702, 0.826, 0.972, 0.8, 0.729, 0.735, 0.698
144, Snabba vändningar, fot, , 1.13, 1.264, 1.27, 1.435, 0.999, 1.234, 1.464, 1.336, 1.133, 0.864
143, Snabba vändningar, klubba, , 0.665, 0.997, 1.17, 0.932, 0.899, 1.072, 0.941, 0.857, 0.964, 0.866
143, Snabba vändningar, fot, , 1.1, 1.33, 1.869, 1.734, 1.734, 1.934, 1.528, 1.306, 1.596, 1.836
131, Snabba vändningar, fot, , 1.1, 1.272, 1.362, 1.439, 1.598, 1.367, 1.764, 1.551, 1.352, 1.498
131, Snabba vändningar, klubba, , 0.734, 1.101, 1.23, 1.167, 1.169, 1.099, 1.234, 0.933, 1.263, 1.038
124, Kasta och fånga, hand, , 15, 22, , , , , , , , 
132, Kasta och fånga, hand, , 18, 21, , , , , , , , 
131, Kasta och fånga, hand, , 7, 8, , , , , , , , 
147, Snabba vändningar, klubba, , 0.831, 0.969, 0.834, 1.131, 0.769, 0.865, 0.699, 0.933, 0.833, 0.704
147, Snabba vändningar, fot, , 0.867, 1.032, 1.531, 1.17, 0.866, 1.269, 0.762, 1.539, 0.861, 1.47
146, Snabba vändningar, fot, , 0.769, 0.865, 0.866, 2.837, 1.798, 3.501, 1.328, 1.832, 0.866, 1.3
146, Snabba vändningar, klubba, , 0.866, 0.968, 0.796, 1.001, 0.801, 1.131, 0.668, 1.201, 0.8, 0.733
130, Snabba vändningar, fot, , 2.6005, 1.299, 3.902, 1.70533333333333, 3.428, 1.503, 1.134, 1.297, 1.17, 1.7
130, Snabba vändningar, klubba, , 0.502, 0.833, 1.299, 2.446, 2.422, 2.198, 0.903, 0.83, 0.667, 1.168
139, Snabba vändningar, fot, , 0.632, 1.002, 1.729, 1.766, 1.732, 1.303, 0.962, 2.538, 0.929, 2.198
139, Snabba vändningar, klubba, , 0.732, 1.102, 0.902, 1.03, 0.802, 1.071, 0.767, 0.996, 0.729, 0.901
