ID, Övning, Utrustning, Höger/Vänster, Försök_1, Försök_2, Försök_3, Försök_4, Försök_5, Försök_6, Försök_7, Försök_8, Försök_9, Försök_10
4, Balansera bollen, slagträ, , 0.654999971389771, 1.84800004959106, 0.981000006198883, , , , , , , 
6, Balansera bollen, slagträ, , 1.07000005245209, 2.77800011634827, 1.29900002479553, , , , , , , 
4, Studsa basket, hand, , 7.0, 9.0, , , , , , , , 
6, Studsa basket, hand, , 13.0, 12.0, , , , , , , , 
1, Balansera bollen, slagträ, , 1.57299995422363, 1.55400002002716, 2.76900005340576, , , , , , , 
2, Balansera bollen, slagträ, , 2.56900000572205, 1.30299997329712, 0.634999990463257, , , , , , , 
9, Studsa basket, hand, , 12.0, 12.0, , , , , , , , 
10, Studsa basket, hand, , 11.0, 13.0, , , , , , , , 
10, Balansera bollen, slagträ, , 1.27199995517731, 1.32400000095367, 0.90200001001358, , , , , , , 
9, Balansera bollen, slagträ, , 0.875999987125397, 1.31599998474121, 0.125, , , , , , , 
3, Balansera bollen, slagträ, , 0.635999977588654, 0.47299998998642, 0.879000008106232, , , , , , , 
5, Balansera bollen, slagträ, , 2.08299994468689, 2.50699996948242, 0.430000007152557, , , , , , , 
1, Studsa basket, hand, , 11.0, 14.0, , , , , , , , 
2, Studsa basket, hand, , 3.0, 8.0, , , , , , , , 
3, Studsa basket, hand, , 4.0, 5.0, , , , , , , , 
5, Studsa basket, hand, , 14.0, 7.0, , , , , , , , 
11, Studsa basket, hand, , 2.0, 8.0, , , , , , , , 
11, Balansera bollen, slagträ, , 0.797999978065491, 0.586000025272369, 0.778999984264374, , , , , , , 
8, Studsa basket, hand, , 3.0, 4.0, , , , , , , , 
7, Studsa basket, hand, , 5.0, 3.0, , , , , , , , 
8, Balansera bollen, slagträ, , 1.03100001811981, 0.570999979972839, 1.66400003433228, , , , , , , 
7, Balansera bollen, slagträ, , 0.693000018596649, 1.06299996376038, 1.41600000858307, , , , , , , 
12, Studsa basket, hand, , 18.0, 17.0, , , , , , , , 
12, Balansera bollen, slagträ, , 2.52099990844727, 2.23200011253357, 4.08500003814697, , , , , , , 
37, Balansera bollen, slagträ, , 0.772000014781952, 1.432000041008, 0.907999992370605, , , , , , , 
22, Balansera bollen, slagträ, , 2.07100009918213, 1.76999998092651, 1.02100002765656, , , , , , , 
31, Balansera bollen, slagträ, , 1.57099997997284, 0.978999972343445, 1.65600001811981, , , , , , , 
30, Balansera bollen, slagträ, , 0.71399998664856, 0.916999995708466, 1.45200002193451, , , , , , , 
28, Balansera bollen, slagträ, , 1.05400002002716, 4.30000019073486, 1.74800002574921, , , , , , , 
29, Balansera bollen, slagträ, , 3.47900009155273, 4.01200008392334, 3.78900003433228, , , , , , , 
23, Balansera bollen, slagträ, , 0.367000013589859, 2.41300010681152, 1.27799999713898, , , , , , , 
24, Balansera bollen, slagträ, , 0.52700001001358, 2.03999996185303, 1.04299998283386, , , , , , , 
15, Balansera bollen, slagträ, , 3.07100009918213, 2.28900003433228, 1.86800003051758, , , , , , , 
16, Balansera bollen, slagträ, , 4.76300001144409, 2.06399989128113, 2.41899991035461, , , , , , , 
39, Studsa basket, hand, , 11.0, 2.0, , , , , , , , 
22, Studsa basket, hand, , 19.0, 22.0, , , , , , , , 
37, Studsa basket, hand, , 6.0, 22.0, , , , , , , , 
20, Studsa basket, hand, , 14.0, 20.0, , , , , , , , 
