ID, Övning, Utrustning, Höger.Vänster, Försök_1, Försök_2, Försök_3, Försök_4, Försök_5, Försök_6, Försök_7, Försök_8, Försök_9, Försök_10
111, Snabba vändningar, klubba, , 0.799, 1.002, 1.032, 0.931, 0.933, 1.167, 1.165, 1.003, 1.131, 0.834
111, Snabba vändningar, fot, , 1.162, 1.7, 1.334, 1.798, 2.969, 1.235, 1.963, 1.47, 1.567, 1.466
99, Snabba vändningar, fot, , 1.466, 1.202, 1.766, 3.136, 2.031, 1.533, 2.597, 1.868, 1.502, 1.8
99, Snabba vändningar, klubba, , 0.566, 0.73, 1.934, 0.869, 0.767, 0.732, 1.5, 0.73, 0.736, 1.404
116, Snabba vändningar, klubba, , 0.736, 0.897, 1.098, 0.902, 0.985, 0.85, 0.997, 0.938, 0.862, 1.138
116, Snabba vändningar, fot, , 0.602, 1.134, 1.137, 1.266, 0.832, 0.963, 0.77, 1.201, 0.934, 1.061
106, Snabba vändningar, klubba, , 0.781, 0.904, 0.769, 0.942, 0.722, 1.568, 0.896, 1.801, 0.936, 1.533
117, Snabba vändningar, klubba, , 0.636, 1.203, 1.066, 0.862, 1.098, 0.873, 1.065, 0.733, 1.163, 0.804
117, Snabba vändningar, fot, , 1.098, 0.864, 1.102, 1.402, 1.297, 1.83, 1.569, 1.399, 1.449, 1.02
106, Snabba vändningar, fot, , 1, 1.231, 1.365, 1.934, 1.5, 1.903, 0.866, 3.335, 0.93, 1.969
