ID, Övning, Utrustning, Höger/Vänster, Försök_1, Försök_2, Försök_3, Försök_4, Försök_5, Försök_6, Försök_7, Försök_8, Försök_9, Försök_10
8, Snabba vändningar, fot, , 1.468, 2.366, 2.679, 1.699, 3.368, 3.034, 3.033, 2.902, 2.535, 1.83
7, Snabba vändningar, fot, , 1.495, 2.197, 2.369, 2.367, 2.499, 2.77, 2.529, 2.367, 0.733, 1.303
8, Snabba vändningar, klubba, , 0.935, 1.77, 2.401, 1.462, 1.971, 1.596, 1.633, 1.771, 1.764, 1.876
7, Snabba vändningar, klubba, , 1.591, 2.087, 1.66, 1.472, 1.666, 1.497, 1.799, 1.224, 1.731, 1.7
4, Snabba vändningar, klubba, , 1.139, 2.233, 2.768, 1.565, 2.234, 1.533, 1.364, 1.338, 4.331, 3.568
6, Snabba vändningar, klubba, , 1.24611111111111, 1.502, 1.203, 1.365, 1.537, 1.145, 0.76, 1.172, 1.3, 1.231
4, Snabba vändningar, fot, , 1.302, 3.566, 7.362, 4.668, 5.263, 4.837, 3.098, 3.306, 3.264, 3.434
6, Snabba vändningar, fot, , 1.133, 1.797, 1.62, 2.898, 1.731, 2.238, 1.664, 4.133, 2.971, 2.36
10, Snabba vändningar, klubba, , 1.099, 1.152, 1.281, 1.132, 1.236, 1.131, 1.432, 1.04, 0.995, 0.936
9, Snabba vändningar, klubba, , 0.902, 1.394, 1.169, 0.968, 1.3, 1.332, 1.133, 1.219, 1.367, 1.231
10, Snabba vändningar, fot, , 1.564, 2.267, 1.841, 1.944, 2.03, 1.553, 2.499, 2.152, 2.297, 2.1
9, Snabba vändningar, fot, , 1.203, 1.444, 1.72, 2.218, 1.829, 3.37, 1.866, 1.863, 3.065, 1.635
11, Snabba vändningar, klubba, , 0.869, 1.061, 1.439, 1.233, 1.866, 1.633, 2.235, 13.961, 0.908, 1.581
11, Snabba vändningar, fot, , 1.466, 1.093, 2.97, 2.456, 2.095, 9.08, 2.272, 2.431, 2.4, 4.037
3, Snabba vändningar, fot, , 2.427, 2.971, 2.796, 3.018, 2.861, 3.169, 2.396, 3.038, 2.366, 5.8
3, Snabba vändningar, klubba, , 0.836, 1.733, 1.63, 1.305, 1.578, 1.271, 1.398, 1.397, 1.438, 1.13
5, Snabba vändningar, klubba, , 1.228, 1.136, 0.9, 0.935, 0.997, 1.068, 0.835, 1.299, 0.929, 0.775
5, Snabba vändningar, fot, , 1.435, 1.465, 4.98, 2.651, 2.868, 2.597, 4.037, 2.965, 3.629, 4.168
1, Snabba vändningar, fot, , 1.636, 1.915, 1.465, 2.836, 1.466, 2.817, 1.847, 1.765, 1.268, 1.768
2, Snabba vändningar, fot, , 1.304, 1.227, 2.506, 1.329, 1.502, 4.435, 3.501, 1.994, 1.57, 2.568
1, Snabba vändningar, klubba, , 1.501, 1.566, 2.371, 1.53, 2.507, 1.46, 1.468, 1.17, 1.147, 1.184
2, Snabba vändningar, klubba, , 1.16, 1.795, 1.367, 1.004, 1.399, 1.337, 1.232, 1.096, 1.068, 0.87
12, Snabba vändningar, klubba, , 1.368, 1.199, 1.449, 1.365, 7.337, 2.064, 0.93, 1.884, 1.232, 2.736
12, Snabba vändningar, fot, , 1.628, 1.666, 4.839, 1.697, 2.685, 5.23, 1.815, 3.551, 2.048, 3.005
