ID, Övning, Utrustning, Höger/Vänster, Försök_1, Försök_2, Försök_3, Försök_4, Försök_5, Försök_6, Försök_7, Försök_8, Försök_9, Försök_10
1, Kanonen, klubba, , 8.0, , , , , , , , , 
6, Kanonen, klubba, , 4.0, , , , , , , , , 
4, Kanonen, klubba, , 7.0, , , , , , , , , 
2, Kanonen, klubba, , 4.0, , , , , , , , , 
9, Kanonen, klubba, , 4.0, , , , , , , , , 
10, Kanonen, klubba, , 6.0, , , , , , , , , 
3, Kanonen, klubba, , 6.0, , , , , , , , , 
5, Kanonen, klubba, , 5.0, , , , , , , , , 
8, Kanonen, klubba, , 9.0, , , , , , , , , 
7, Kanonen, klubba, , 7.0, , , , , , , , , 
11, Kanonen, klubba, , 5.0, , , , , , , , , 
12, Kanonen, klubba, , 3.0, , , , , , , , , 
