ID, Övning, Utrustning, Höger/Vänster, Försök_1, Försök_2, Försök_3, Försök_4, Försök_5, Försök_6, Försök_7, Försök_8, Försök_9, Försök_10
28, Minigolf, klubba, höger, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, , , , 
29, Minigolf, klubba, vänster, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, , , , 
19, Minigolf, klubba, vänster, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, , , , 
18, Minigolf, klubba, höger, 0.0, 2.0, 3.0, 0.0, 1.0, 2.0, , , , 
31, Minigolf, klubba, vänster, 2.0, 3.0, 0.0, 0.0, 2.0, 1.0, , , , 
30, Minigolf, klubba, vänster, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, , , , 
23, Minigolf, klubba, vänster, 3.0, 1.0, 0.0, 0.0, 0.0, 0.0, , , , 
24, Minigolf, klubba, vänster, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, , , , 
15, Minigolf, klubba, vänster, 0.0, 0.0, 0.0, 1.0, 2.0, 0.0, , , , 
16, Minigolf, klubba, vänster, 0.0, 1.0, 1.0, 2.0, 3.0, 1.0, , , , 
39, Minigolf, klubba, höger, 0.0, 2.0, 0.0, 2.0, 2.0, 3.0, , , , 
14, Minigolf, klubba, höger, 1.0, 1.0, 2.0, 3.0, 2.0, 0.0, , , , 
13, Minigolf, klubba, höger, 2.0, 3.0, 0.0, 1.0, 0.0, 0.0, , , , 
17, Minigolf, klubba, vänster, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, , , , 
20, Minigolf, klubba, höger, 1.0, 0.0, 1.0, 0.0, 0.0, 3.0, , , , 
36, Minigolf, klubba, vänster, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, , , , 
35, Minigolf, klubba, vänster, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, , , , 
40, Minigolf, klubba, höger, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, , , , 
