ID, Övning, Utrustning, Höger/Vänster, Försök_1, Försök_2, Försök_3, Försök_4, Försök_5, Försök_6, Försök_7, Försök_8, Försök_9, Försök_10
94, Kanonen, klubba, , 6, , , , , , , , ,
95, Kanonen, klubba, , 3, , , , , , , , ,
96, Kanonen, klubba, , 4, , , , , , , , ,
97, Kanonen, klubba, , 5, , , , , , , , ,
98, Kanonen, klubba, , 2, , , , , , , , ,
99, Kanonen, klubba, , 10, , , , , , , , ,
100, Kanonen, klubba, , 12, , , , , , , , ,
101, Kanonen, klubba, , 5, , , , , , , , ,
102, Kanonen, klubba, , 7, , , , , , , , ,
103, Kanonen, klubba, , 8, , , , , , , , ,
104, Kanonen, klubba, , 22, , , , , , , , ,
105, Kanonen, klubba, , 1, , , , , , , , ,
106, Kanonen, klubba, , 6, , , , , , , , ,
107, Kanonen, klubba, , 14, , , , , , , , ,
108, Kanonen, klubba, , 7, , , , , , , , ,
109, Kanonen, klubba, , 6, , , , , , , , ,
110, Kanonen, klubba, , 7, , , , , , , , ,
111, Kanonen, klubba, , 10, , , , , , , , ,
112, Kanonen, klubba, , 7, , , , , , , , ,
113, Kanonen, klubba, , 8, , , , , , , , ,
114, Kanonen, klubba, , 8, , , , , , , , ,
115, Kanonen, klubba, , 9, , , , , , , , ,
116, Kanonen, klubba, , 7, , , , , , , , ,
117, Kanonen, klubba, , 5, , , , , , , , ,
118, Kanonen, klubba, , 7, , , , , , , , ,
119, Kanonen, klubba, , 10, , , , , , , , ,
120, Kanonen, klubba, , 9, , , , , , , , ,
121, Kanonen, klubba, , 4, , , , , , , , ,
122, Kanonen, klubba, , 8, , , , , , , , ,
