ID, Övning, Utrustning, Höger/Vänster, Försök_1, Försök_2, Försök_3, Försök_4, Försök_5, Försök_6, Försök_7, Försök_8, Försök_9, Försök_10
78, Balansera bollen, slagträ, , 1.60699999332428, 0.252000004053116, 0.0489999987185001, , , , , , , 
80, Balansera bollen, slagträ, , 1.75399994850159, 0.971000015735626, 1.51999998092651, , , , , , , 
83, Minigolf, klubba, höger, 0, 0, 0, 1, 2, 1, , , , 
86, Minigolf, klubba, höger, 0, 0, 0, 0, 0, 1, , , , 
91, Minigolf, klubba, höger, 0, 0, 0, 0, 0, 0, , , , 
89, Minigolf, klubba, höger, 2, 0, 3, 0, 0, 2, , , , 
93, Minigolf, klubba, höger, 1, 0, 3, 0, 1, 0, , , , 
84, Minigolf, klubba, höger, 0, 0, 0, 2, 3, 3, , , , 
70, Minigolf, klubba, höger, 0, 0, 1, 1, 0, 3, , , , 
72, Minigolf, klubba, höger, 0, 1, 0, 0, 0, 3, , , , 
71, Minigolf, klubba, vänster, 0, 0, 1, 0, 2, 0, , , , 
77, Minigolf, klubba, vänster, 0, 0, 0, 0, 0, 0, , , , 
81, Minigolf, klubba, höger, 2, 0, 0, 0, 0, 2, , , , 
69, Minigolf, klubba, höger, 2, 0, 0, 1, 0, 0, , , , 
79, Minigolf, klubba, höger, 0, 2, 0, 0, 0, 3, , , , 
92, Minigolf, klubba, höger, 0, 1, 0, 3, 3, 2, , , , 
90, Minigolf, klubba, höger, 0, 1, 2, 2, 2, 0, , , , 
78, Minigolf, klubba, höger, 0, 1, 0, 0, 2, 2, , , , 
80, Minigolf, klubba, höger, 0, 0, 0, 0, 0, 0, , , , 
82, Minigolf, klubba, höger, 0, 0, 3, 2, 0, 0, , , , 
85, Minigolf, klubba, vänster, 0, 0, 0, 0, 0, 0, , , , 
87, Minigolf, klubba, vänster, 0, 0, 0, 0, 0, 0, , , , 
68, Minigolf, klubba, vänster, 0, 0, 3, 2, 0, 0, , , , 
75, Minigolf, klubba, höger, 0, 0, 0, 0, 0, 0, , , , 
74, Minigolf, klubba, vänster, 0, 2, 0, 1, 0, 3, , , , 
88, Minigolf, klubba, vänster, 0, 0, 0, 0, 0, 0, , , , 
75, Balansera bollen, slagträ, , 1.07700002193451, 1.25600004196167, 0.800000011920929, , , , , , , 
74, Balansera bollen, slagträ, , 1.73399996757507, 1.92700004577637, 1.47200000286102, , , , , , , 
88, Balansera bollen, slagträ, , 0.89300000667572, 1.21599996089935, 1.68799996376038, , , , , , , 
89, Balansera bollen, slagträ, , 2.72000002861023, 0.825999975204468, 1.62300002574921, , , , , , , 
85, Balansera bollen, slagträ, , 1.69799995422363, 1.96899998188019, 1.46899998188019, , , , , , , 
77, Balansera bollen, slagträ, , 0.535000026226044, 0.667999982833862, 1.45899999141693, , , , , , , 
68, Snabba vändningar, klubba, , 1.198, 1.068, 1.135, 0.966, 1.431, 1.068, 1.099, 1.302, 1.401, 1.135
75, Snabba vändningar, klubba, , 1.026, 1.47, 1.399, 1.334, 1.364, 1.471, 1.434, 2.198, 1.302, 1.632
88, Snabba vändningar, klubba, , 0.999, 0.963, 1.304, 1.234, 1.266, 1.134, 1.231, 1.333, 1.199, 1.034
74, Snabba vändningar, klubba, , 1.37, 1.397, 1.036, 1.812, 1.92, 1.698, 1.565, 1.238, 1.198, 1.432
68, Snabba vändningar, fot, , 0.868, 5.7, 2.897, 3.002, 3.636, 3.066, 1.765, 0.932, 3.168, 2.216
75, Snabba vändningar, fot, , 1.169, 1.428, 2.369, 1.431, 2.67, 1.565, 1.631, 3.033, 3.768, 2.367
88, Snabba vändningar, fot, , 1.199, 1.302, 1.799, 2.532, 4.301, 1.799, 3.068, 2.267, 1.928, 2.037
74, Snabba vändningar, fot, , 1.799, 1.733, 2.764, 1.836, 2.462, 1.637, 2.565, 1.135, 3.065, 1.767
80, Snabba vändningar, fot, , 1.157, 2.519, 4.669, 4.528, 1.469, 1.638, 2.066, 1.265, 1.4, 1.633
78, Snabba vändningar, fot, , 1.531, 1.969, 1.872, 2.424, 1.566, 1.304, 1.765, 2.034, 1.765, 2.266
80, Snabba vändningar, klubba, , 0.702, 1.065, 1.066, 1, 1.065, 0.936, 1.062, 0.937, 1.034, 0.899
78, Snabba vändningar, klubba, , 0.766, 1.974, 1.325, 1.102, 3.9, 1.669, 4.125, 4.873, 1.666, 1.266
73, Snabba vändningar, klubba, , 0.999, 1.104, 0.998, 1.234, 1.063, 1.167, 1.101, 1.069, 1.031, 1.035
76, Snabba vändningar, klubba, , 0.962, 1.304, 0.863, 1.169, 1.568, 5.834, 1.461, 1.304, 0.934, 1.4
76, Snabba vändningar, fot, , 1.832, 1.198, 2.203, 1.298, 2.168, 2.163, 1.3, 1.5, 2.335, 4.098
73, Snabba vändningar, fot, , 1.399, 1.196, 1.87, 1.231, 1.903, 1.1, 3.532, 1.663, 1.705, 1.73322222222222
86, Snabba vändningar, fot, , 1.665, 1.634, 1.399, 1.67, 1.099, 1.034, 2.365, 2.141, 1.023, 1.804
86, Snabba vändningar, klubba, , 1.236, 1.867, 1.302, 1.462, 1.435, 1.395, 1.406, 1.531, 1.435, 1.496
87, Snabba vändningar, fot, , 1.099, 1.367, 0.934, 1.133, 1.067, 1.135, 1.033, 1.497, 1.158125, 1.635
87, Snabba vändningar, klubba, , 0.802, 1.034, 1.299, 1.203, 2.133, 0.932, 1.032, 1.114, 1.355, 1.198
