ID, Övning, Utrustning, Höger.Vänster, Försök_1, Försök_2, Försök_3, Försök_4, Försök_5, Försök_6, Försök_7, Försök_8, Försök_9, Försök_10
15, Snabba vändningar, klubba, , 0.73, 0.678, 0.866, 0.672, 0.885, 0.696, 0.851, 0.631, 0.835, 0.667
16, Snabba vändningar, klubba, , 0.662, 2.67, 0.764, 0.578, 2.2, 0.567, 0.906, 0.615, 0.816, 0.67
15, Snabba vändningar, fot, , 0.666, 1.062, 0.971, 1.467, 1.295, 1.367, 1.167, 1.968, 1.234, 0.855
16, Snabba vändningar, fot, , 1.234, 0.802, 1.798, 0.602, 0.999, 1.195, 1.07, 3.638, 1.427, 2.388
17, Snabba vändningar, klubba, , 0.961, 1.38, 1.101, 1.004, 1.252, 0.946, 1.667, 0.965, 1.22, 0.901
20, Snabba vändningar, klubba, , 0.902, 1.034, 1.368, 1.165, 1.22, 1.166, 1.279, 0.87, 1.436, 0.952
17, Snabba vändningar, fot, , 0.998, 1.367, 2.167, 1.433, 1.505, 1.501, 1.499, 1.662, 1.436, 1.499
20, Snabba vändningar, fot, , 1.866, 2.095, 1.568, 1.514, 1.998, 2.673, 1.364, 2.298, 3.098, 1.767
19, Snabba vändningar, klubba, , 0.995, 1.368, 1.269, 1.1, 1.028, 1.337, 1.264, 1.107, 1.025, 1.371
18, Snabba vändningar, klubba, , 0.73, 1.012, 1.169, 1.001, 1.168, 0.898, 1.264, 0.835, 1.133, 0.763
31, Snabba vändningar, fot, , 2.352, 2.282, 1.866, 2.606, 1.848, 4.166, 2.201, 3.162, 3.819, 1.28
30, Snabba vändningar, fot, , 0.999, 2.819, 2.363, 1.9, 2.598, 2.004, 1.967, 2.596, 1.832, 2.804
30, Snabba vändningar, klubba, , 1.131, 1.568, 3.395, 1.738, 3.395, 1.604, 1.804, 2.18, 1.75, 2.195
31, Snabba vändningar, klubba, , 0.629, 1.267, 1.402, 1.629, 1.765, 2.053, 1.498, 2.235, 1.73, 2.102
26, Snabba vändningar, klubba, , 0.83, 0.613, 0.535, 0.532, 0.667, 0.532, 0.638, 0.599, 0.697, 0.5
21, Snabba vändningar, klubba, , 0.404, 0.664, 0.595, 0.67, 0.669, 0.597, 0.666, 0.634, 0.583, 0.631
