ID, Övning, Utrustning, Höger.Vänster, Försök_1, Försök_2, Försök_3, Försök_4, Försök_5, Försök_6, Försök_7, Försök_8, Försök_9, Försök_10
26, Snabba vändningar, fot, , 1.24, 1.674, 1.295, 1.47, 1.069, 1.564, 1.281, 1.28, 4.368, 4.799
21, Snabba vändningar, fot, , 1.066, 1.138, 0.96, 1.22, 1.001, 1.264, 1.218, 1.099, 1.033, 1.268
28, Snabba vändningar, klubba, , 2.228, 0.701, 0.797, 0.637, 0.763, 0.705, 0.666, 0.632, 0.8, 0.635
29, Snabba vändningar, klubba, , 0.536, 1.161, 0.634, 0.47, 0.699, 0.834, 0.564, 0.767, 0.599, 0.638
28, Snabba vändningar, fot, , 4.234, 0.669, 1.76, 0.732, 4.236, 1.137, 1.432, 1.432, 1.267, 0.895
29, Snabba vändningar, fot, , 1.469, 1.115, 1.096, 0.965, 1.001, 1.366, 3.434, 1.033, 0.966, 1.38277777777778
39, Snabba vändningar, klubba, , 0.56, 0.602, 0.724, 0.664, 0.58, 0.568, 0.697, 0.698, 0.639, 0.636888888888889
39, Snabba vändningar, fot, , 0.959, 1.335, 2.817, 2.133, 0.866, 2.031, 1.232, 1.636, 1.837, 1.797
34, Snabba vändningar, fot, , 7.225, 1.798, 1.306, 3.566, 2.393, 2.171, 2.936, 3.864, 6.166, 4.234
34, Snabba vändningar, klubba, , 3.963, 1.83, 4.335, 3.153, 2.328, 1.537, 1.957, 1.841, 13.394, 2.29
32, Snabba vändningar, fot, , 3.096, 6.871, 1.718, 3.405, 1.723, 2.039, 1.86, 1.817, 2.136, 1.833
32, Snabba vändningar, klubba, , 2.033, 2.381, 2.467, 2.098, 2.066, 2.562, 5.319, 2.67, 2.613, 2.115
33, Snabba vändningar, fot, , 7.532, 1.796, 3.94, 2.027, 1.504, 4.365, 2.068, 4.395, 2.101, 6.003
33, Snabba vändningar, klubba, , 1.4, 1.7, 1.762, 1.433, 1.982, 1.569, 1.132, 4.902, 5.535, 2.027
36, Snabba vändningar, fot, , 1.662, 2.333, 2.467, 5.738, 1.297, 3.466, 3.998, 3.284, 1.868, 2.764
36, Snabba vändningar, klubba, , 1.426, 2.338, 1.633, 2.933, 1.765, 1.263, 1.766, 1.304, 1.73, 1.073
35, Snabba vändningar, fot, , 2.467, 1.034, 4.895, 1.121, 8.535, 1.563, 11.068, 5.569, 4.076, 3.771
35, Snabba vändningar, klubba, , 1.169, 2.297, 1.373, 2.228, 2.898, 2.639, 2.33, 2.416, 1.982, 2.67
23, Snabba vändningar, fot, , 1.065, 1.399, 3.467, 0.862, 2.6078, 2.165, 2.234, 4.372, 2.546, 1.722
23, Snabba vändningar, klubba, , 0.664, 0.997, 0.932, 2.005, 0.864, 0.866, 0.902, 1.364, 4.77, 2.728
24, Snabba vändningar, fot, , 1.301, 2.425, 2.381, 3.599, 1.899, 2.3, 1.867, 3.604, 1.664, 3.568
27, Snabba vändningar, fot, , 0.596, 1.511, 1.06, 1.312, 1.369, 1.104, 0.961, 1.5, 1.198, 1.274
27, Snabba vändningar, klubba, , 0.433, 0.869, 1.198, 0.834, 1.063, 0.774, 2.23, 1.834, 1.199, 0.997
25, Snabba vändningar, fot, , 0.665, 1.303, 1.468, 1.87, 0.9, 1.361, 1.371, 1.261, 1.369, 1.335
25, Snabba vändningar, klubba, , 0.533, 0.734, 0.734, 0.697, 0.704, 0.664, 0.733, 2, 0.834, 0.868
22, Snabba vändningar, fot, , 1.671, 1.431, 1.035, 2.7, 1.999, 1.331, 2.035, 1.398, 1.437, 1.595
22, Snabba vändningar, klubba, , 0.863, 0.736, 0.734, 0.562, 1.434, 1.032, 2.234, 0.903, 0.701, 0.93
41, Snabba vändningar, klubba, , 3.4, 3.246, 0.762, 0.834, 1.835, 3.734, 6.563, 0.502, 2.235, 0.731
41, Snabba vändningar, fot, , 6.098, 2.672, 3.727, 0.873, 2.768, 1.894, 3.37, 2.801, 3.464, 0.504
40, Snabba vändningar, fot, , 0.833, 4.721, 1.586, 1.732, 1.03, 2.104, 1.995, 2.065, 1.372, 1.497
40, Snabba vändningar, klubba, , 1.036, 0.701, 1.034, 4.127, 1.099, 0.705, 1.067, 0.696, 1.136, 2.922
13, Snabba vändningar, fot, , 2.696, 1.441, 3.131, 4.898, 3.397, 0.732, 2.336, 3.738, 1.196, 5.467
13, Snabba vändningar, klubba, , 0.844888888888889, 0.603, 0.834, 0.633, 0.766, 0.864, 0.633, 1.901, 0.624, 0.746
14, Snabba vändningar, klubba, , 0.766, 0.799, 1.072, 0.967, 1.061, 1.102, 0.933, 1.067, 1.001, 1
14, Snabba vändningar, fot, , 1.366, 6.303, 5.929, 1.336, 1.707, 3.027, 3.031, 2.502, 1.696, 2.207
59, Snabba vändningar, klubba, , 0.702, 1.416, 1.262, 1.805, 1.267, 1.433, 0.897, 1.169, 0.898, 1.301
59, Snabba vändningar, fot, , 2.068, 1.6, 0.9, 2.161, 1.972, 1.028, 2.134, 1.466, 2.376, 2.124
67, Snabba vändningar, fot, , 0.767, 1.463, 1.704, 1.594, 0.906, 0.97, 1.996, 1.764, 1.764, 1.401
67, Snabba vändningar, klubba, , 0.805, 0.734, 1.37, 0.793, 1.003, 0.863, 1, 0.87, 0.832, 0.797
49, Snabba vändningar, fot, , 0.628, 1.535, 1.878, 1.137, 1.236, 1.562, 1.364, 1.17, 1.234, 1.097
49, Snabba vändningar, klubba, , 0.733, 1.032, 1.447, 0.9, 1.03, 0.703, 1.065, 0.771, 0.928, 0.834
51, Snabba vändningar, fot, , 1.105, 0.964, 1.067, 1.252, 1.265, 0.999, 1.101, 0.97, 0.962, 0.934
51, Snabba vändningar, klubba, , 0.637, 0.632, 0.828714285714286, 1.003, 0.536, 1.267, 0.797, 0.63, 0.766, 0.802
53, Snabba vändningar, fot, , 0.805, 1.5, 1.13, 1.431, 0.901, 1.3, 0.869, 1.174, 0.862, 3.665
53, Snabba vändningar, klubba, , 0.563, 0.802, 0.9, 0.93, 1.736, 0.968, 0.983166666666667, 0.634, 0.766, 0.669
66, Snabba vändningar, klubba, , 0.829, 1.346, 0.831, 0.897, 0.8, 0.773, 1.366, 0.863, 0.736, 0.73
66, Snabba vändningar, fot, , 0.733, 1.639, 0.962, 1.466, 1.233, 3.267, 1.466, 1.303, 1.032, 1.133
43, Snabba vändningar, klubba, , 1.4, 1.338, 1.191, 1.139, 0.999, 1.133, 1.297, 1.434, 0.997, 1.334
43, Snabba vändningar, fot, , 1.83088888888889, 1.397, 2.081, 1.165, 2.072, 2.834, 1.962, 1.936, 1.397, 1.634
47, Snabba vändningar, fot, , 0.964, 2.897, 2.806, 2.201, 2.797, 1.4, 2.232, 2.034, 2.83, 1.702
47, Snabba vändningar, klubba, , 1.268, 1.568, 2.03, 1.268, 1.233, 1.033, 1.195, 0.937, 0.999, 4.263
63, Snabba vändningar, klubba, , 0.471, 0.601, 2.061, 0.633, 0.9, 0.606, 1.199, 0.799, 1.487, 0.629
63, Snabba vändningar, fot, , 0.323, 0.969, 1.431, 0.97, 1.063, 2.109, 0.96, 1.4, 1.101, 1.24
57, Snabba vändningar, klubba, , 1.068, 1.003, 0.959, 1.136, 1.016, 1.054, 0.925, 0.837, 1.04, 2.596
57, Snabba vändningar, fot, , 0.936, 0.833, 2.094, 1.324, 1.377, 1.39, 1.277, 3.703, 1.166, 1.735
56, Snabba vändningar, klubba, , 0.819, 1.299, 1.266, 1.235, 1.128, 1.134, 1.069, 1.252, 1.446, 1.4
56, Snabba vändningar, fot, , 0.998, 1.63, 1.366, 1.704, 1.298, 1.503, 1.578, 1.698, 1.538, 1.398
42, Snabba vändningar, klubba, , 1.198, 1.466, 1.168, 1.798, 0.984, 1.938, 1.375, 1.434, 1.101, 1.399
42, Snabba vändningar, fot, , 1.335, 1.5, 1.563, 2.133, 1.733, 1.262, 2.895, 2.88, 2.322, 3.696
55, Snabba vändningar, fot, , 1.541, 1.688, 3.296, 2.43, 1.572, 2.201, 1.764, 2.302, 1.597, 2.908
55, Snabba vändningar, klubba, , 1.163, 1.567, 1.294, 1.002, 1.238, 0.912, 1.311, 0.893, 1.306, 1.095
52, Snabba vändningar, klubba, , 0.832, 1.401, 0.649, 1.498, 1.267, 0.866, 1.067, 1.231, 0.85, 1.052
52, Snabba vändningar, fot, , 2.314, 0.997, 1.073, 0.963, 1.166, 1.031, 2.736, 1.101, 0.964, 4.835
46, Snabba vändningar, fot, , 1.366, 1.765, 1.199, 1.714, 1.438, 1.299, 1.002, 2.097, 1.665, 2.334
46, Snabba vändningar, klubba, , 2.133, 1.336, 1.334, 1.534, 1.366, 1.529, 1.235, 1.365, 1.166, 1.273
61, Snabba vändningar, klubba, , 1.097, 1.437, 1.531, 1.6, 1.332, 1.472, 1.396, 1.634, 1.197, 1.372
61, Snabba vändningar, fot, , 1.197, 1.102, 1.663, 1.602, 1.233, 2.399, 1.537, 2.131, 1.736, 1.362
45, Snabba vändningar, klubba, , 1.036, 1.546, 4.035, 3.367, 0.968, 1.629, 1.269, 1.88, 3.951, 0.769
45, Snabba vändningar, fot, , 1.769, 0.934, 2.598, 2.006, 4.26, 1.069, 4.031, 1.268, 3.227, 2.641
44, Snabba vändningar, fot, , 1.638, 4.138, 2.103, 1.822, 2.237, 2.096, 7.466, 1.966, 1.27, 2.932
62, Snabba vändningar, fot, , 1.267, 1.163, 2.504, 0.829, 2.433, 1.234, 1.936, 2.264, 1.333, 6.324
44, Snabba vändningar, klubba, , 0.868, 1.17, 1.696, 2.77, 3.63, 1.304, 1.196, 1.555, 1.412, 1.071
62, Snabba vändningar, klubba, , 0.872, 2.099, 1.231, 0.934, 1.168, 0.934, 2.201, 1.065, 2.033, 0.864
54, Snabba vändningar, klubba, , 0.659, 1.037, 3.265, 0.902, 0.861, 0.867, 1.504, 1.304, 1.063, 1.932
54, Snabba vändningar, fot, , 1.332, 1.57925, 1.421, 1.629, 1.38, 1.838, 1.432, 1.565, 1.467, 1.902
58, Snabba vändningar, fot, , 1.163, 0.93, 1.37, 1.065, 1.068, 0.833, 1.597, 1.065, 0.834, 1.10277777777778
58, Snabba vändningar, klubba, , 0.499, 0.671, 0.964, 0.57, 0.73, 0.665, 0.8, 0.639, 0.797, 0.63
48, Snabba vändningar, klubba, , 1.163, 1.252, 1.425, 1.271, 1.436, 1.161, 1.2, 1.201, 1.585, 1.298
50, Snabba vändningar, klubba, , 1.14411111111111, 1.228, 1.101, 1.067, 1.237, 1.247, 1.014, 0.838, 1.181, 1.384
50, Snabba vändningar, fot, , 1.283, 1.168, 1.743, 1.434, 0.999, 0.566, 1.3, 2.339, 0.699, 2.099
48, Snabba vändningar, fot, , 0.971, 1.732, 1.23, 1.401, 1.132, 2.037, 1.496, 1.399, 1.467, 1.771
