ID, Övning, Utrustning, Höger/Vänster, Försök_1, Försök_2, Försök_3, Försök_4, Försök_5, Försök_6, Försök_7, Försök_8, Försök_9, Försök_10
8, Minigolf, klubba, höger, 1.0, 0.0, 0.0, 0.0, 1.0, 3.0, , , , 
7, Minigolf, klubba, höger, 0.0, 2.0, 0.0, 2.0, 0.0, 2.0, , , , 
11, Tennisboll över bom, rack, , 2.0, , , , , , , , , 
11, Minigolf, klubba, höger, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, , , , 
8, Tennisboll över bom, rack, , 1.0, , , , , , , , , 
7, Tennisboll över bom, rack, , 4.0, , , , , , , , , 
8, Jonglera med armbåge, armbåge, , 2.0, 2.0, 2.0, , , , , , , 
7, Jonglera med armbåge, armbåge, , 3.0, 5.0, 2.0, , , , , , , 
11, Jonglera med armbåge, armbåge, , 3.0, 1.0, 2.0, , , , , , , 
9, Tennisboll över bom, rack, , 2.0, , , , , , , , , 
10, Tennisboll över bom, rack, , 4.0, , , , , , , , , 
1, Tennisboll över bom, rack, , 3.0, , , , , , , , , 
2, Tennisboll över bom, rack, , 3.0, , , , , , , , , 
6, Jonglera med armbåge, armbåge, , 5.0, 5.0, 4.0, , , , , , , 
4, Jonglera med armbåge, armbåge, , 1.0, 1.0, 1.0, , , , , , , 
4, Tennisboll över bom, rack, , 1.0, , , , , , , , , 
6, Tennisboll över bom, rack, , 2.0, , , , , , , , , 
12, Tennisboll över bom, rack, , 6.0, , , , , , , , , 
26, Tennisboll över bom, rack, , 10.0, , , , , , , , , 
21, Tennisboll över bom, rack, , 9.0, , , , , , , , , 
39, Tennisboll över bom, rack, , 6.0, , , , , , , , , 
21, Jonglera med armbåge, armbåge, , 2.0, 3.0, 5.0, , , , , , , 
26, Jonglera med armbåge, armbåge, , 2.0, 3.0, 3.0, , , , , , , 
14, Tennisboll över bom, rack, , 1.0, , , , , , , , , 
13, Tennisboll över bom, rack, , 6.0, , , , , , , , , 
28, Jonglera med armbåge, armbåge, , 5.0, 3.0, 4.0, , , , , , , 
29, Jonglera med armbåge, armbåge, , 5.0, 2.0, 3.0, , , , , , , 
34, Tennisboll över bom, rack, , 4.0, , , , , , , , , 
